HCPCS,Mod 1,Mod 2,Commercial,,,,,,,,
A6526,,,Prevailng State Rates,,,,,,,,
A6528,,,$746.24,,,,,,,,
A6530,,,$26.77,,,,,,,,
A6531,,,$47.22,,,,,,,,
A6532,AW,,Prevailng State Rates,,,,,,,,
A6533,,,Prevailng State Rates,,,,,,,,
A6534,,,$47.38,,,,,,,,
A6537,,,Prevailng State Rates,,,,,,,,
A6539,,,Prevailng State Rates,,,,,,,,
A6540,,,$130.65,,,,,,,,
A6545,AW,,Prevailng State Rates,,,,,,,,
A6545,,,$92.99,,,,,,,,
A6549,,,Cost Invoice,,,,,,,,
A6550,,,$25.64,,,,,,,,
A6552,,,$64.92,,,,,,,,
A6553,,,Prevailng State Rates,,,,,,,,
A6556,,,Prevailng State Rates,,,,,,,,
A6557,,,$347.40,,,,,,,,
A6558,,,Prevailng State Rates,,,,,,,,
A6559,,,Prevailng State Rates,,,,,,,,
A6562,,,Prevailng State Rates,,,,,,,,
A6563,,,Prevailng State Rates,,,,,,,,
A6564,,,Prevailng State Rates,,,,,,,,
A6565,,,$196.47,,,,,,,,
A6566,,,$285.26,,,,,,,,
A6568,,,$186.17,,,,,,,,
A6572,,,Prevailng State Rates,,,,,,,,
A6576,,,$218.53,,,,,,,,
A6577,,,Prevailng State Rates,,,,,,,,
A6578,,,$89.08,,,,,,,,
A6581,,,$81.73,,,,,,,,
A6582,,,$54.51,,,,,,,,
A6583,,,$179.31,,,,,,,,
A6584,,,Prevailng State Rates,,,,,,,,
A6585,,,Prevailng State Rates,,,,,,,,
A6586,,,Prevailng State Rates,,,,,,,,
A6587,,,$81.94,,,,,,,,
A6588,,,Prevailng State Rates,,,,,,,,
A6589,,,$107.80,,,,,,,,
A6593,,,$253.33,,,,,,,,
A6610,,,Prevailng State Rates,,,,,,,,
A7000,,,$8.73,,,,,,,,
A7002,,,$3.97,,,,,,,,
A7003,,,$2.32,,,,,,,,
A7004,,,$1.52,,,,,,,,
A7005,,,$25.99,,,,,,,,
A7007,,,Prevailng State Rates,,,,,,,,
A7010,,,Prevailng State Rates,,,,,,,,
A7012,,,Prevailng State Rates,,,,,,,,
A7013,,,$0.70,,,,,,,,
A7014,,,$3.84,,,,,,,,
A7015,,,$1.59,,,,,,,,
A7020,,,$14.54,,,,,,,,
A7027,,,Prevailng State Rates,,,,,,,,
A7030,,,$122.62,,,,,,,,
A7031,,,$45.35,,,,,,,,
A7032,,,$26.34,,,,,,,,
A7033,,,$18.46,,,,,,,,
A7034,,,$76.46,,,,,,,,
A7035,,,$25.83,,,,,,,,
A7036,,,$11.82,,,,,,,,
A7037,,,$26.66,,,,,,,,
A7038,,,$3.51,,,,,,,,
A7039,,,$9.96,,,,,,,,
A7045,,,Prevailng State Rates,,,,,,,,
A7046,,,$13.50,,,,,,,,
A7048,,,$57.71,,,,,,,,
A7507,,,$2.73,,,,,,,,
A7508,,,Prevailng State Rates,,,,,,,,
A7509,,,$1.97,,,,,,,,
A7520,,,$51.82,,,,,,,,
A7521,,,$51.35,,,,,,,,
A7523,,,Prevailng State Rates,,,,,,,,
A7525,,,$2.25,,,,,,,,
A7526,,,$3.70,,,,,,,,
A8001,,,Prevailng State Rates,,,,,,,,
A9270,,,Cost Invoice,,,,,,,,
A9274,,,Prevailng State Rates,,,,,,,,
A9282,,,$150.00,,,,,,,,
A9284,,,$3.67,,,,,,,,
A9900,,,Cost Invoice,,,,,,,,
A9999,,,Cost Invoice,,,,,,,,
B4034,,,$5.94,,,,,,,,
B4035,,,$7.22,,,,,,,,
B4036,,,$7.75,,,,,,,,
B4081,,,$21.00,,,,,,,,
B4082,,,$15.63,,,,,,,,
B4087,,,$33.70,,,,,,,,
B4088,,,$79.92,,,,,,,,
B4100,BO,,Prevailng State Rates,,,,,,,,
B4100,,,Prevailng State Rates,,,,,,,,
B4102,BO,,Prevailng State Rates,,,,,,,,
B4102,,,Prevailng State Rates,,,,,,,,
B4103,BO,,Prevailng State Rates,,,,,,,,
B4103,,,$11.83,,,,,,,,
B4105,,,$115.27,,,,,,,,
B4149,,,$1.50,,,,,,,,
