HCPCS,Mod 1,Mod 2,Medicaid
E0294,RR,,$99.91
E0301,RR,,Prevailing State Rates
E0303,,,"$2,324.60"
E0303,RR,,$232.46
E0304,RR,,$589.35
E0305,,,$124.37
E0310,,,$173.50
E0310,RR,,$17.35
E0325,,,Prevailing State Rates
E0328,,,Prevailing State Rates
E0424,QG,,Prevailing State Rates
E0424,QG,RR,Prevailing State Rates
E0424,RR,,$129.43
E0424,QF,,Prevailing State Rates
E0431,RR,,$21.64
E0431,RR,QF,$46.04
E0431,,,Prevailing State Rates
E0434,RR,,$36.11
E0439,RR,,$129.43
E0445,,,"$1,149.17"
E0445,RR,,$164.17
E0465,RR,,$908.79
E0465,TW,RR,$835.66
E0465,RR,TW,$770.14
E0465,TW,,"$1,004.95"
E0466,RR,,$908.79
E0466,TW,,Prevailing State Rates
E0467,RR,,Prevailing State Rates
E0470,,,"$1,633.59"
E0470,RR,,$163.35
E0471,,,"$3,335.40"
E0471,RR,,$333.54
E0480,,,Prevailing State Rates
E0482,,,"$4,459.40"
E0482,RR,,$445.94
E0483,,,"$11,094.39"
E0483,RR,,"$1,109.44"
E0484,,,$51.61
E0562,,,$195.80
E0562,RR,,$19.57
E0565,RR,,$51.43
E0570,,,$135.82
E0570,RR,,$13.59
E0575,,,$15.80
E0600,,,$413.92
E0600,RR,,$41.39
E0601,,,$726.16
E0601,RR,,$72.62
E0603,,,$191.68
E0604,,,$776.50
E0604,RR,,$77.65
E0607,,,$72.94
E0617,KF,,$427.50
E0617,,,"$4,275.00"
E0621,,,$88.99
E0630,,,$858.71
E0630,RR,,$85.87
E0635,,,"$1,482.90"
E0635,RR,,$148.29
E0636,RR,,Prevailing State Rates
E0637,,,"$2,358.51"
E0642,,,Prevailing State Rates
E0651,,,"$1,283.19"
E0652,,,"$3,628.87"
E0652,RR,,Prevailing State Rates
E0656,,,"$1,100.00"
E0657,,,Prevailing State Rates
E0667,,,$295.98
E0668,,,Prevailing State Rates
E0673,,,Prevailing State Rates
E0676,,,Cost Invoice
E0691,,,$931.82
