HCPCS,Mod 1,Mod 2,ASO/Commercial
E0973,,,104.63
E0978,,,110.8
E0978,RR,,11.08
E0981,,,58.2
E0982,,,Prevailing State Rates
E0986,,,Cost Invoice
E0990,,,95.3
E0990,RR,,9.53
E0992,,,111.99
E0995,,,76.24
E1002,,,5872.22
E1004,,,5794.68
E1007,,,10542.39
E1010,,,Prevailing State Rates
E1012,,,5133.49
E1016,,,147.76
E1020,,,230.08
E1028,,,386.26
E1028,RR,,38.626
E1031,,,Prevailing State Rates
E1032,,,Prevailing State Rates
E1033,,,Prevailing State Rates
E1140,RR,,64.94
E1150,RR,,131.07
E1161,,,2840.9
E1161,RR,,284.09
E1225,,,494.3965
E1225,RR,,49.43965
E1226,,,502.61
E1226,RR,,50.261
E1232,,,2952.84
E1234,,,2663.3
E1235,,,3073.81
E1236,,,2754.71
E1237,,,Prevailing State Rates
E1238,,,1967.65
E1238,RR,,196.77
E1353,RR,,15.75
E1355,RR,,Prevailing State Rates
E1356,RR,,49.88
E1372,RR,,16.98
E1390,,,81.6
E1390,QF,,Prevailing State Rates
E1390,QG,,Prevailing State Rates
E1390,QG,RR,211.68
E1390,RR,,129.43
E1390,RR,QF,Prevailing State Rates
E1390,RR,QG,Prevailing State Rates
E1392,,,Prevailing State Rates
E1392,RR,,37.96
E1399,,,Cost Invoice
E1399,RR,,Cost Invoice
E1594,RR,,1136.03
E1800,RR,,127.03
E1805,,,1310.2
E1805,RR,,131.02
E1806,RR,,170.21
E1810,RR,,129.2
E1815,,,1310.24
E1815,RR,,131.024
E1825,RR,,131.02
E1830,RR,,176.54
E1840,RR,,Prevailing State Rates
E2000,RR,,53.75
E2100,,,Prevailing State Rates
E2102,,,294.12
E2103,,,323.2995
E2201,,,448
E2201,RR,,44.81
E2202,RR,,56.92
E2203,,,575.2
E2204,,,Prevailing State Rates
E2205,,,294.26
E2206,,,48.04
E2207,,,Prevailing State Rates
E2208,,,103.66
E2208,RR,,10.366
E2209,,,109.06
E2210,,,6.76
E2211,,,135.04
E2212,,,6.92
E2213,,,35.91
E2214,,,Prevailing State Rates
E2215,,,Prevailing State Rates
E2218,,,Prevailing State Rates
E2219,,,50.23
E2220,,,26.41
E2221,,,Prevailing State Rates
E2222,,,28.47
E2224,,,374.88
E2225,,,20.88
E2226,,,45.55
E2231,,,184.52
E2291,,,338.12
E2298,,,3851.79
E2300,,,Cost Invoice
E2301,,,Prevailing State Rates
E2310,,,1392.3395
E2311,,,3030.35
E2313,,,694.69
E2322,,,Prevailing State Rates
E2323,,,280.16
E2325,,,Prevailing State Rates
E2328,,,Prevailing State Rates
E2331,,,Cost Invoice
E2359,,,211.84
E2361,,,164.86
E2363,,,214.89
E2365,,,144.37
E2366,,,261.58
E2367,,,562.49
E2370,,,Prevailing State Rates
E2374,,,635.82
E2375,,,Prevailing State Rates
E2376,,,Prevailing State Rates
E2377,,,1080.64
E2378,,,634.96
E2381,,,Prevailing State Rates
E2383,,,Prevailing State Rates
E2386,,,146.23
E2387,,,Prevailing State Rates
E2388,,,Prevailing State Rates
E2389,,,28.32
E2390,,,62.01
E2391,,,Prevailing State Rates
E2392,,,123.42
E2394,,,272.69
E2395,,,56.45
E2396,,,Prevailing State Rates
E2397,,,566.84
E2398,,,Prevailing State Rates
E2402,RR,,698.61
E2510,,,5876.47
E2512,,,3135
E2599,,,Cost Invoice
E2601,,,209.27
E2602,,,123.56
E2603,,,137.46
E2604,,,Prevailing State Rates
E2605,,,278.56
E2607,,,367.07
E2608,,,Prevailing State Rates
E2609,,,2751.14
E2611,,,323.26
E2612,,,Prevailing State Rates
E2613,,,695.55
E2615,,,468.09
E2616,,,Prevailing State Rates
E2617,,,4755.18
E2619,,,53.09
E2620,,,577.37
E2621,,,Prevailing State Rates
E2622,,,824.37
E2623,,,550.48
E2624,,,824.37
E2626,,,Prevailing State Rates
E8000,,,2813.08
E8001,,,2009.34
K0001,,,543.5
K0001,RR,,54.35
K0002,RR,,71.82
K0003,,,883.13
K0003,RR,,88.313
K0004,,,1007.83
K0004,RR,,100.783
K0005,,,2182.7
K0006,RR,,111.27
K0006,,,Prevailing State Rates
K0007,,,1939.9
K0007,RR,,193.99
