HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,WA (NR),WA (R),Short Description
E2387,UE,,D,IN,0,0,43.38,55.79,Foam filled caster tire
E2387,UE,KE,D,IN,0,0,0,60.3,Foam filled caster tire
E2387,UE,KU,D,IN,62.22,52.89,62.22,0,Foam filled caster tire
E2388,NU,,D,IN,0,0,59.52,60.7,Foam drive wheel tire
E2388,NU,KE,D,IN,0,0,0,65.18,Foam drive wheel tire
E2388,NU,KU,D,IN,61.87,52.59,61.87,0,Foam drive wheel tire
E2388,RR,,D,IN,0,0,5.95,6.08,Foam drive wheel tire
E2388,RR,KE,D,IN,0,0,0,6.53,Foam drive wheel tire
E2388,RR,KU,D,IN,6.19,5.26,6.19,0,Foam drive wheel tire
E2388,UE,,D,IN,0,0,44.64,45.53,Foam drive wheel tire
E2388,UE,KE,D,IN,0,0,0,48.9,Foam drive wheel tire
E2388,UE,KU,D,IN,46.44,39.47,46.44,0,Foam drive wheel tire
E2389,NU,,D,IN,0,0,33.27,33.44,Foam caster tire
E2389,NU,KE,D,IN,0,0,0,35.88,Foam caster tire
E2389,NU,KU,D,IN,33.61,28.57,33.61,0,Foam caster tire
E2389,RR,,D,IN,0,0,3.33,3.35,Foam caster tire
E2389,RR,KE,D,IN,0,0,0,3.6,Foam caster tire
E2389,RR,KU,D,IN,3.38,2.87,3.38,0,Foam caster tire
E2389,UE,,D,IN,0,0,24.95,25.07,Foam caster tire
E2389,UE,KE,D,IN,0,0,0,26.89,Foam caster tire
E2389,UE,KU,D,IN,25.18,21.4,25.18,0,Foam caster tire
E2390,NU,,D,IN,0,0,51.51,52.03,Solid drive wheel tire
E2390,NU,KE,D,IN,0,0,0,55.84,Solid drive wheel tire
E2390,NU,KU,D,IN,52.57,44.68,52.57,0,Solid drive wheel tire
E2390,RR,,D,IN,0,0,5.15,5.2,Solid drive wheel tire
E2390,RR,KE,D,IN,0,0,0,5.58,Solid drive wheel tire
E2390,RR,KU,D,IN,5.26,4.47,5.26,0,Solid drive wheel tire
E2390,UE,,D,IN,0,0,38.63,39.01,Solid drive wheel tire
E2390,UE,KE,D,IN,0,0,0,41.87,Solid drive wheel tire
E2390,UE,KU,D,IN,39.4,33.49,39.4,0,Solid drive wheel tire
E2391,NU,,D,IN,0,0,20.63,24.39,Solid caster tire
E2391,NU,KE,D,IN,0,0,0,26.22,Solid caster tire
E2391,NU,KU,D,IN,25.17,21.39,25.17,0,Solid caster tire
E2391,RR,,D,IN,0,0,2.06,2.45,Solid caster tire
E2391,RR,KE,D,IN,0,0,0,2.63,Solid caster tire
E2391,RR,KU,D,IN,2.53,2.15,2.53,0,Solid caster tire
E2391,UE,,D,IN,0,0,15.47,18.3,Solid caster tire
E2391,UE,KE,D,IN,0,0,0,19.67,Solid caster tire
E2391,UE,KU,D,IN,18.88,16.05,18.88,0,Solid caster tire
E2392,NU,,D,IN,0,0,50.26,61.32,"Solid caster tire, integrate"
E2392,NU,KE,D,IN,0,0,0,66.12,"Solid caster tire, integrate"
E2392,NU,KU,D,IN,66.18,56.25,66.18,0,"Solid caster tire, integrate"
E2392,RR,,D,IN,0,0,5.03,6.15,"Solid caster tire, integrate"
E2392,RR,KE,D,IN,0,0,0,6.63,"Solid caster tire, integrate"
E2392,RR,KU,D,IN,6.66,5.66,6.66,0,"Solid caster tire, integrate"
E2392,UE,,D,IN,0,0,37.7,46,"Solid caster tire, integrate"
E2392,UE,KE,D,IN,0,0,0,49.6,"Solid caster tire, integrate"
E2392,UE,KU,D,IN,49.64,42.19,49.64,0,"Solid caster tire, integrate"
E2394,NU,,D,IN,0,0,68.29,86.08,Drive wheel excludes tire
E2394,NU,KE,D,IN,0,0,0,92.92,Drive wheel excludes tire
E2394,NU,KU,D,IN,94.3,80.16,94.3,0,Drive wheel excludes tire
E2394,RR,,D,IN,0,0,6.83,8.62,Drive wheel excludes tire
E2394,RR,KE,D,IN,0,0,0,9.3,Drive wheel excludes tire
E2394,RR,KU,D,IN,9.46,8.04,9.46,0,Drive wheel excludes tire
E2394,UE,,D,IN,0,0,51.21,64.56,Drive wheel excludes tire
E2394,UE,KE,D,IN,0,0,0,69.69,Drive wheel excludes tire
E2394,UE,KU,D,IN,70.73,60.12,70.73,0,Drive wheel excludes tire
E2395,NU,,D,IN,0,0,53.44,62.66,Caster wheel excludes tire
E2395,NU,KE,D,IN,0,0,0,67.52,Caster wheel excludes tire
E2395,NU,KU,D,IN,67,56.95,67,0,Caster wheel excludes tire
E2395,RR,,D,IN,0,0,5.35,6.27,Caster wheel excludes tire
E2395,RR,KE,D,IN,0,0,0,6.76,Caster wheel excludes tire
E2395,RR,KU,D,IN,6.71,5.7,6.71,0,Caster wheel excludes tire
E2395,UE,,D,IN,0,0,40.08,47,Caster wheel excludes tire
E2395,UE,KE,D,IN,0,0,0,50.65,Caster wheel excludes tire
E2395,UE,KU,D,IN,50.25,42.71,50.25,0,Caster wheel excludes tire
E2396,NU,,D,IN,0,0,61.71,75.9,Caster fork
E2396,NU,KE,D,IN,0,0,0,81.83,Caster fork
E2396,NU,KU,D,IN,81.67,69.42,81.67,0,Caster fork
E2396,RR,,D,IN,0,0,6.17,7.88,Caster fork
E2396,RR,KE,D,IN,0,0,0,8.51,Caster fork
E2396,RR,KU,D,IN,8.73,7.42,8.73,0,Caster fork
E2396,UE,,D,IN,0,0,46.29,56.94,Caster fork
E2396,UE,KE,D,IN,0,0,0,61.38,Caster fork
E2396,UE,KU,D,IN,61.29,52.1,61.29,0,Caster fork
E2397,NU,,D,IN,0,0,506.2,590.2,"Pwc acc, lith-based battery"
E2397,NU,KU,D,IN,590.19,501.66,590.19,0,"Pwc acc, lith-based battery"
E2397,RR,,D,IN,0,0,50.62,59.02,"Pwc acc, lith-based battery"
E2397,RR,KU,D,IN,59.04,50.18,59.04,0,"Pwc acc, lith-based battery"
E2397,UE,,D,IN,0,0,379.65,442.62,"Pwc acc, lith-based battery"
E2397,UE,KU,D,IN,442.62,376.23,442.62,0,"Pwc acc, lith-based battery"
E2398,NU,,D,IN,163.49,138.97,163.49,0,Wc dynamic pos back hardware
E2398,NU,KU,D,IN,163.49,138.97,163.49,0,Wc dynamic pos back hardware
E2398,RR,,D,IN,16.35,13.9,16.35,0,Wc dynamic pos back hardware
E2398,RR,KU,D,IN,16.35,13.9,16.35,0,Wc dynamic pos back hardware
E2398,UE,,D,IN,122.6,104.21,122.6,0,Wc dynamic pos back hardware
E2398,UE,KU,D,IN,122.6,104.21,122.6,0,Wc dynamic pos back hardware
E2402,RR,,D,CR,0,0,792.1,1504.41,Neg press wound therapy pump
E2500,NU,,D,IN,557.3,473.71,557.3,0,Sgd digitized pre-rec <=8min
E2500,RR,,D,IN,55.73,47.37,55.73,0,Sgd digitized pre-rec <=8min
E2500,UE,,D,IN,417.97,355.27,417.97,0,Sgd digitized pre-rec <=8min
E2502,NU,,D,IN,1704.17,1448.54,1704.17,0,Sgd prerec msg >8min <=20min
E2502,RR,,D,IN,170.44,144.87,170.44,0,Sgd prerec msg >8min <=20min
E2502,UE,,D,IN,1278.14,1086.42,1278.14,0,Sgd prerec msg >8min <=20min
E2504,NU,,D,IN,2248.05,1910.84,2248.05,0,Sgd prerec msg>20min <=40min
E2504,RR,,D,IN,224.83,191.11,224.83,0,Sgd prerec msg>20min <=40min
E2504,UE,,D,IN,1686.04,1433.13,1686.04,0,Sgd prerec msg>20min <=40min
E2506,NU,,D,IN,3296.27,2801.83,3296.27,0,Sgd prerec msg > 40 min
E2506,RR,,D,IN,329.61,280.17,329.61,0,Sgd prerec msg > 40 min
E2506,UE,,D,IN,2472.16,2101.34,2472.16,0,Sgd prerec msg > 40 min
E2508,NU,,D,IN,5097.15,4332.58,5097.15,0,Sgd spelling phys contact
E2508,RR,,D,IN,509.71,433.25,509.71,0,Sgd spelling phys contact
E2508,UE,,D,IN,3822.88,3249.45,3822.88,0,Sgd spelling phys contact
E2510,NU,,D,IN,9645.69,8198.84,9645.69,0,Sgd w multi methods msg/accs
E2510,RR,,D,IN,964.56,819.88,964.56,0,Sgd w multi methods msg/accs
E2510,UE,,D,IN,7234.25,6149.11,7234.25,0,Sgd w multi methods msg/accs
E2511,NU,,D,IN,0,0,0,0,Sgd sftwre prgrm for pc/pda
E2511,RR,,D,IN,0,0,0,0,Sgd sftwre prgrm for pc/pda
E2511,UE,,D,IN,0,0,0,0,Sgd sftwre prgrm for pc/pda
E2512,NU,,D,IN,0,0,0,0,"Sgd accessory, mounting sys"
E2512,RR,,D,IN,0,0,0,0,"Sgd accessory, mounting sys"
E2512,UE,,D,IN,0,0,0,0,"Sgd accessory, mounting sys"
E2513,NU,,D,IN,4491,3817.35,4491,0,"Sgd accessory, emg sensor"
E2513,RR,,D,IN,449.12,381.75,449.12,0,"Sgd accessory, emg sensor"
E2513,UE,,D,IN,3368.26,2863.02,3368.26,0,"Sgd accessory, emg sensor"
E2601,NU,,D,IN,0,0,45.35,63.63,Gen w/c cushion wdth < 22 in
E2601,NU,KE,D,IN,0,0,0,69.07,Gen w/c cushion wdth < 22 in
E2601,NU,KU,D,IN,75.12,63.85,75.12,0,Gen w/c cushion wdth < 22 in
E2601,RR,,D,IN,0,0,4.53,6.38,Gen w/c cushion wdth < 22 in
E2601,RR,KE,D,IN,0,0,0,6.92,Gen w/c cushion wdth < 22 in
E2601,RR,KU,D,IN,7.52,6.39,7.52,0,Gen w/c cushion wdth < 22 in
E2601,UE,,D,IN,0,0,34.01,47.73,Gen w/c cushion wdth < 22 in
E2601,UE,KE,D,IN,0,0,0,51.82,Gen w/c cushion wdth < 22 in
E2601,UE,KU,D,IN,56.34,47.89,56.34,0,Gen w/c cushion wdth < 22 in
E2602,NU,,D,IN,0,0,100.22,129.54,Gen w/c cushion wdth >=22 in
E2602,NU,KE,D,IN,0,0,0,140.17,Gen w/c cushion wdth >=22 in
E2602,NU,KU,D,IN,146.66,124.66,146.66,0,Gen w/c cushion wdth >=22 in
E2602,RR,,D,IN,0,0,10.02,12.96,Gen w/c cushion wdth >=22 in
E2602,RR,KE,D,IN,0,0,0,14.02,Gen w/c cushion wdth >=22 in
E2602,RR,KU,D,IN,14.69,12.49,14.69,0,Gen w/c cushion wdth >=22 in
E2602,UE,,D,IN,0,0,75.16,97.16,Gen w/c cushion wdth >=22 in
E2602,UE,KE,D,IN,0,0,0,105.13,Gen w/c cushion wdth >=22 in
E2602,UE,KU,D,IN,110.02,93.52,110.02,0,Gen w/c cushion wdth >=22 in
E2603,NU,,D,IN,0,0,122.75,161.99,Skin protect wc cus wd <22in
E2603,NU,KE,D,IN,0,0,0,175.49,Skin protect wc cus wd <22in
E2603,NU,KU,D,IN,186.19,158.26,186.19,0,Skin protect wc cus wd <22in
E2603,RR,,D,IN,0,0,12.28,16.21,Skin protect wc cus wd <22in
E2603,RR,KE,D,IN,0,0,0,17.56,Skin protect wc cus wd <22in
E2603,RR,KU,D,IN,18.64,15.84,18.64,0,Skin protect wc cus wd <22in
E2603,UE,,D,IN,0,0,92.06,121.5,Skin protect wc cus wd <22in
E2603,UE,KE,D,IN,0,0,0,131.63,Skin protect wc cus wd <22in
E2603,UE,KU,D,IN,139.67,118.72,139.67,0,Skin protect wc cus wd <22in
E2604,NU,,D,IN,0,0,177.3,213.28,Skin protect wc cus wd>=22in
E2604,NU,KE,D,IN,0,0,0,230.06,Skin protect wc cus wd>=22in
E2604,NU,KU,D,IN,231.45,196.73,231.45,0,Skin protect wc cus wd>=22in
E2604,RR,,D,IN,0,0,17.73,21.33,Skin protect wc cus wd>=22in
E2604,RR,KE,D,IN,0,0,0,23,Skin protect wc cus wd>=22in
E2604,RR,KU,D,IN,23.14,19.67,23.14,0,Skin protect wc cus wd>=22in
E2604,UE,,D,IN,0,0,132.98,159.98,Skin protect wc cus wd>=22in
E2604,UE,KE,D,IN,0,0,0,172.57,Skin protect wc cus wd>=22in
E2604,UE,KU,D,IN,173.58,147.54,173.58,0,Skin protect wc cus wd>=22in
E2605,NU,,D,IN,0,0,250.48,305.91,Position wc cush wdth <22 in
E2605,NU,KE,D,IN,0,0,0,329.89,Position wc cush wdth <22 in
E2605,NU,KU,D,IN,330.63,281.04,330.63,0,Position wc cush wdth <22 in
E2605,RR,,D,IN,0,0,25.05,30.6,Position wc cush wdth <22 in
E2605,RR,KE,D,IN,0,0,0,33,Position wc cush wdth <22 in
E2605,RR,KU,D,IN,33.07,28.11,33.07,0,Position wc cush wdth <22 in
E2605,UE,,D,IN,0,0,187.86,229.45,Position wc cush wdth <22 in
E2605,UE,KE,D,IN,0,0,0,247.44,Position wc cush wdth <22 in
E2605,UE,KU,D,IN,248.01,210.81,248.01,0,Position wc cush wdth <22 in
E2606,NU,,D,IN,0,0,388.33,483.35,Position wc cush wdth>=22 in
E2606,NU,KE,D,IN,0,0,0,520.75,Position wc cush wdth>=22 in
E2606,NU,KU,D,IN,515.8,438.43,515.8,0,Position wc cush wdth>=22 in
E2606,RR,,D,IN,0,0,38.83,48.34,Position wc cush wdth>=22 in
E2606,RR,KE,D,IN,0,0,0,52.08,Position wc cush wdth>=22 in
E2606,RR,KU,D,IN,51.59,43.85,51.59,0,Position wc cush wdth>=22 in
E2606,UE,,D,IN,0,0,291.25,362.5,Position wc cush wdth>=22 in
E2606,UE,KE,D,IN,0,0,0,390.55,Position wc cush wdth>=22 in
E2606,UE,KU,D,IN,386.81,328.79,386.81,0,Position wc cush wdth>=22 in
E2607,NU,,D,IN,0,0,248.86,314.14,Skin pro/pos wc cus wd <22in
E2607,NU,KE,D,IN,0,0,0,339.95,Skin pro/pos wc cus wd <22in
E2607,NU,KU,D,IN,356.03,302.63,356.03,0,Skin pro/pos wc cus wd <22in
E2607,RR,,D,IN,0,0,24.89,31.41,Skin pro/pos wc cus wd <22in
E2607,RR,KE,D,IN,0,0,0,34,Skin pro/pos wc cus wd <22in
E2607,RR,KU,D,IN,35.61,30.27,35.61,0,Skin pro/pos wc cus wd <22in
E2607,UE,,D,IN,0,0,186.64,235.61,Skin pro/pos wc cus wd <22in
E2607,UE,KE,D,IN,0,0,0,254.97,Skin pro/pos wc cus wd <22in
E2607,UE,KU,D,IN,267.03,226.98,267.03,0,Skin pro/pos wc cus wd <22in
E2608,NU,,D,IN,0,0,319.36,385.28,Skin pro/pos wc cus wd>=22in
E2608,NU,KE,D,IN,0,0,0,416.28,Skin pro/pos wc cus wd>=22in
E2608,NU,KU,D,IN,427.55,363.42,427.55,0,Skin pro/pos wc cus wd>=22in
E2608,RR,,D,IN,0,0,31.94,38.52,Skin pro/pos wc cus wd>=22in
E2608,RR,KE,D,IN,0,0,0,41.62,Skin pro/pos wc cus wd>=22in
E2608,RR,KU,D,IN,42.75,36.34,42.75,0,Skin pro/pos wc cus wd>=22in
E2608,UE,,D,IN,0,0,239.52,288.96,Skin pro/pos wc cus wd>=22in
E2608,UE,KE,D,IN,0,0,0,312.21,Skin pro/pos wc cus wd>=22in
E2608,UE,KU,D,IN,320.67,272.57,320.67,0,Skin pro/pos wc cus wd>=22in
E2611,NU,,D,IN,0,0,180.01,296.61,Gen use back cush wdth <22in
E2611,NU,KE,D,IN,0,0,0,324.42,Gen use back cush wdth <22in
E2611,NU,KU,D,IN,383.68,326.13,383.68,0,Gen use back cush wdth <22in
E2611,RR,,D,IN,0,0,18,29.65,Gen use back cush wdth <22in
E2611,RR,KE,D,IN,0,0,0,32.43,Gen use back cush wdth <22in
E2611,RR,KU,D,IN,38.35,32.6,38.35,0,Gen use back cush wdth <22in
E2611,UE,,D,IN,0,0,135.01,222.47,Gen use back cush wdth <22in
E2611,UE,KE,D,IN,0,0,0,243.34,Gen use back cush wdth <22in
E2611,UE,KU,D,IN,287.77,244.6,287.77,0,Gen use back cush wdth <22in
E2612,NU,,D,IN,0,0,368.01,463.99,Gen use back cush wdth>=22in
E2612,NU,KE,D,IN,0,0,0,501.62,Gen use back cush wdth>=22in
E2612,NU,KU,D,IN,519.02,441.17,519.02,0,Gen use back cush wdth>=22in
E2612,RR,,D,IN,0,0,36.8,46.4,Gen use back cush wdth>=22in
E2612,RR,KE,D,IN,0,0,0,50.16,Gen use back cush wdth>=22in
E2612,RR,KU,D,IN,51.9,44.12,51.9,0,Gen use back cush wdth>=22in
E2612,UE,,D,IN,0,0,276.01,347.99,Gen use back cush wdth>=22in
E2612,UE,KE,D,IN,0,0,0,376.21,Gen use back cush wdth>=22in
E2612,UE,KU,D,IN,389.23,330.85,389.23,0,Gen use back cush wdth>=22in
E2613,NU,,D,IN,0,0,354.05,448.32,Position back cush wd <22in
E2613,NU,KE,D,IN,0,0,0,483.32,Position back cush wd <22in
E2613,NU,KU,D,IN,482.79,410.37,482.79,0,Position back cush wd <22in
E2613,RR,,D,IN,0,0,35.41,44.84,Position back cush wd <22in
E2613,RR,KE,D,IN,0,0,0,48.34,Position back cush wd <22in
E2613,RR,KU,D,IN,48.29,41.05,48.29,0,Position back cush wd <22in
E2613,UE,,D,IN,0,0,265.54,336.24,Position back cush wd <22in
E2613,UE,KE,D,IN,0,0,0,362.49,Position back cush wd <22in
E2613,UE,KU,D,IN,362.08,307.77,362.08,0,Position back cush wd <22in
E2614,NU,,D,IN,0,0,527.46,639.38,Position back cush wd>=22in
E2614,NU,KE,D,IN,0,0,0,687.82,Position back cush wd>=22in
E2614,NU,KU,D,IN,668.14,567.92,668.14,0,Position back cush wd>=22in
E2614,RR,,D,IN,0,0,52.75,63.94,Position back cush wd>=22in
E2614,RR,KE,D,IN,0,0,0,68.78,Position back cush wd>=22in
E2614,RR,KU,D,IN,66.81,56.79,66.81,0,Position back cush wd>=22in
E2614,UE,,D,IN,0,0,395.59,479.55,Position back cush wd>=22in
E2614,UE,KE,D,IN,0,0,0,515.88,Position back cush wd>=22in
E2614,UE,KU,D,IN,501.13,425.96,501.13,0,Position back cush wd>=22in
E2615,NU,,D,IN,0,0,414.63,513.83,Pos back post/lat wdth <22in
E2615,NU,KE,D,IN,0,0,0,554.11,Pos back post/lat wdth <22in
E2615,NU,KU,D,IN,555.58,472.24,555.58,0,Pos back post/lat wdth <22in
E2615,RR,,D,IN,0,0,41.46,51.39,Pos back post/lat wdth <22in
E2615,RR,KE,D,IN,0,0,0,55.42,Pos back post/lat wdth <22in
E2615,RR,KU,D,IN,55.57,47.23,55.57,0,Pos back post/lat wdth <22in
E2615,UE,,D,IN,0,0,310.97,385.38,Pos back post/lat wdth <22in
E2615,UE,KE,D,IN,0,0,0,415.59,Pos back post/lat wdth <22in
E2615,UE,KU,D,IN,416.68,354.18,416.68,0,Pos back post/lat wdth <22in
E2616,NU,,D,IN,0,0,569.71,691.68,Pos back post/lat wdth>=22in
E2616,NU,KE,D,IN,0,0,0,745.88,Pos back post/lat wdth>=22in
E2616,NU,KU,D,IN,747.55,635.42,747.55,0,Pos back post/lat wdth>=22in
E2616,RR,,D,IN,0,0,56.97,69.17,Pos back post/lat wdth>=22in
E2616,RR,KE,D,IN,0,0,0,74.59,Pos back post/lat wdth>=22in
E2616,RR,KU,D,IN,74.75,63.54,74.75,0,Pos back post/lat wdth>=22in
E2616,UE,,D,IN,0,0,427.28,518.77,Pos back post/lat wdth>=22in
E2616,UE,KE,D,IN,0,0,0,559.42,Pos back post/lat wdth>=22in
E2616,UE,KU,D,IN,560.65,476.55,560.65,0,Pos back post/lat wdth>=22in
E2619,NU,,D,IN,0,0,61.28,62.16,Replace cover w/c seat cush
E2619,NU,KE,D,IN,0,0,0,66.73,Replace cover w/c seat cush
E2619,NU,KU,D,IN,63.02,53.57,63.02,0,Replace cover w/c seat cush
E2619,RR,,D,IN,0,0,6.13,6.22,Replace cover w/c seat cush
E2619,RR,KE,D,IN,0,0,0,6.67,Replace cover w/c seat cush
E2619,RR,KU,D,IN,6.28,5.34,6.28,0,Replace cover w/c seat cush
E2619,UE,,D,IN,0,0,45.96,46.64,Replace cover w/c seat cush
E2619,UE,KE,D,IN,0,0,0,50.07,Replace cover w/c seat cush
E2619,UE,KU,D,IN,47.32,40.22,47.32,0,Replace cover w/c seat cush
E2620,NU,,D,IN,0,0,447.62,589.37,Wc planar back cush wd <22in
E2620,NU,KE,D,IN,0,0,0,638.15,Wc planar back cush wd <22in
E2620,NU,KU,D,IN,672.73,571.82,672.73,0,Wc planar back cush wd <22in
E2620,RR,,D,IN,0,0,44.76,58.94,Wc planar back cush wd <22in
E2620,RR,KE,D,IN,0,0,0,63.82,Wc planar back cush wd <22in
E2620,RR,KU,D,IN,67.29,57.2,67.29,0,Wc planar back cush wd <22in
E2620,UE,,D,IN,0,0,335.71,442.04,Wc planar back cush wd <22in
E2620,UE,KE,D,IN,0,0,0,478.62,Wc planar back cush wd <22in
E2620,UE,KU,D,IN,504.58,428.89,504.58,0,Wc planar back cush wd <22in
E2621,NU,,D,IN,0,0,522.52,652.67,Wc planar back cush wd>=22in
E2621,NU,KE,D,IN,0,0,0,703.86,Wc planar back cush wd>=22in
E2621,NU,KU,D,IN,705.99,600.09,705.99,0,Wc planar back cush wd>=22in
E2621,RR,,D,IN,0,0,52.25,65.27,Wc planar back cush wd>=22in
E2621,RR,KE,D,IN,0,0,0,70.39,Wc planar back cush wd>=22in
E2621,RR,KU,D,IN,70.59,60,70.59,0,Wc planar back cush wd>=22in
E2621,UE,,D,IN,0,0,391.89,489.5,Wc planar back cush wd>=22in
E2621,UE,KE,D,IN,0,0,0,527.89,Wc planar back cush wd>=22in
E2621,UE,KU,D,IN,529.51,450.08,529.51,0,Wc planar back cush wd>=22in
E2622,NU,,D,IN,0,0,388.75,397.95,Adj skin pro w/c cus wd<22in
E2622,NU,KE,D,IN,0,0,0,427.46,Adj skin pro w/c cus wd<22in
E2622,NU,KU,D,IN,407.15,346.08,407.15,0,Adj skin pro w/c cus wd<22in
E2622,RR,,D,IN,0,0,38.88,39.8,Adj skin pro w/c cus wd<22in
E2622,RR,KE,D,IN,0,0,0,42.75,Adj skin pro w/c cus wd<22in
E2622,RR,KU,D,IN,40.74,34.63,40.74,0,Adj skin pro w/c cus wd<22in
E2622,UE,,D,IN,0,0,291.56,298.46,Adj skin pro w/c cus wd<22in
E2622,UE,KE,D,IN,0,0,0,320.6,Adj skin pro w/c cus wd<22in
E2622,UE,KU,D,IN,305.37,259.56,305.37,0,Adj skin pro w/c cus wd<22in
E2623,NU,,D,IN,0,0,491.6,504.84,Adj skin pro wc cus wd>=22in
E2623,NU,KE,D,IN,0,0,0,542.4,Adj skin pro wc cus wd>=22in
E2623,NU,KU,D,IN,518.07,440.36,518.07,0,Adj skin pro wc cus wd>=22in
E2623,RR,,D,IN,0,0,49.16,50.49,Adj skin pro wc cus wd>=22in
E2623,RR,KE,D,IN,0,0,0,54.25,Adj skin pro wc cus wd>=22in
E2623,RR,KU,D,IN,51.83,44.06,51.83,0,Adj skin pro wc cus wd>=22in
E2623,UE,,D,IN,0,0,368.7,378.62,Adj skin pro wc cus wd>=22in
E2623,UE,KE,D,IN,0,0,0,406.79,Adj skin pro wc cus wd>=22in
E2623,UE,KU,D,IN,388.56,330.28,388.56,0,Adj skin pro wc cus wd>=22in
E2624,NU,,D,IN,0,0,395.03,402.76,Adj skin pro/pos cus<22in
E2624,NU,KE,D,IN,0,0,0,432.53,Adj skin pro/pos cus<22in
E2624,NU,KU,D,IN,410.5,348.93,410.5,0,Adj skin pro/pos cus<22in
E2624,RR,,D,IN,0,0,39.51,40.28,Adj skin pro/pos cus<22in
E2624,RR,KE,D,IN,0,0,0,43.26,Adj skin pro/pos cus<22in
E2624,RR,KU,D,IN,41.07,34.91,41.07,0,Adj skin pro/pos cus<22in
E2624,UE,,D,IN,0,0,296.28,302.09,Adj skin pro/pos cus<22in
E2624,UE,KE,D,IN,0,0,0,324.41,Adj skin pro/pos cus<22in
E2624,UE,KU,D,IN,307.9,261.72,307.9,0,Adj skin pro/pos cus<22in
E2625,NU,,D,IN,0,0,488.89,504.27,Adj skin pro/pos wc cus>=22
E2625,NU,KE,D,IN,0,0,0,541.95,Adj skin pro/pos wc cus>=22
E2625,NU,KU,D,IN,519.67,441.72,519.67,0,Adj skin pro/pos wc cus>=22
E2625,RR,,D,IN,0,0,48.89,50.42,Adj skin pro/pos wc cus>=22
E2625,RR,KE,D,IN,0,0,0,54.19,Adj skin pro/pos wc cus>=22
E2625,RR,KU,D,IN,51.94,44.15,51.94,0,Adj skin pro/pos wc cus>=22
E2625,UE,,D,IN,0,0,366.67,378.2,Adj skin pro/pos wc cus>=22
E2625,UE,KE,D,IN,0,0,0,406.46,Adj skin pro/pos wc cus>=22
E2625,UE,KU,D,IN,389.76,331.3,389.76,0,Adj skin pro/pos wc cus>=22
E2626,NU,,D,IN,0,0,750.55,874.46,Seo mobile arm sup att to wc
E2626,NU,KU,D,IN,885.21,752.43,885.21,0,Seo mobile arm sup att to wc
E2626,RR,,D,IN,0,0,75.06,87.43,Seo mobile arm sup att to wc
E2626,RR,KU,D,IN,88.49,75.22,88.49,0,Seo mobile arm sup att to wc
E2626,UE,,D,IN,0,0,562.92,655.81,Seo mobile arm sup att to wc
E2626,UE,KU,D,IN,663.82,564.25,663.82,0,Seo mobile arm sup att to wc
E2627,NU,,D,IN,0,0,1189.55,1372.34,Arm supp att to wc rancho ty
E2627,NU,KU,D,IN,1412.49,1200.62,1412.49,0,Arm supp att to wc rancho ty
E2627,RR,,D,IN,0,0,118.95,137.25,Arm supp att to wc rancho ty
E2627,RR,KU,D,IN,141.3,120.11,141.3,0,Arm supp att to wc rancho ty
E2627,UE,,D,IN,0,0,892.17,1029.25,Arm supp att to wc rancho ty
E2627,UE,KU,D,IN,1059.34,900.44,1059.34,0,Arm supp att to wc rancho ty
E2628,NU,,D,IN,0,0,911.32,1026.4,Mobile arm supports reclinin
E2628,NU,KU,D,IN,1064.08,904.47,1026.39,0,Mobile arm supports reclinin
E2628,RR,,D,IN,0,0,91.13,102.63,Mobile arm supports reclinin
E2628,RR,KU,D,IN,106.39,90.43,102.64,0,Mobile arm supports reclinin
E2628,UE,,D,IN,0,0,683.49,769.8,Mobile arm supports reclinin
E2628,UE,KU,D,IN,798.04,678.33,769.8,0,Mobile arm supports reclinin
E2629,NU,,D,IN,0,0,1164.06,1323.67,Friction dampening arm supp
E2629,NU,KU,D,IN,1346.56,1144.58,1346.56,0,Friction dampening arm supp
E2629,RR,,D,IN,0,0,116.41,132.36,Friction dampening arm supp
E2629,RR,KU,D,IN,134.65,114.45,134.65,0,Friction dampening arm supp
E2629,UE,,D,IN,0,0,873.05,992.75,Friction dampening arm supp
E2629,UE,KU,D,IN,1009.91,858.42,1009.91,0,Friction dampening arm supp
E2630,NU,,D,IN,0,0,781.26,912.54,Monosuspension arm/hand supp
E2630,NU,KU,D,IN,941.66,800.41,941.66,0,Monosuspension arm/hand supp
E2630,RR,,D,IN,0,0,78.12,91.26,Monosuspension arm/hand supp
E2630,RR,KU,D,IN,94.15,80.03,94.15,0,Monosuspension arm/hand supp
E2630,UE,,D,IN,0,0,585.94,684.4,Monosuspension arm/hand supp
E2630,UE,KU,D,IN,706.24,600.3,706.24,0,Monosuspension arm/hand supp
E2631,NU,,D,IN,0,0,317.3,345.58,Elevat proximal arm support
E2631,NU,KU,D,IN,376.69,320.19,345.58,0,Elevat proximal arm support
E2631,RR,,D,IN,0,0,31.73,34.55,Elevat proximal arm support
E2631,RR,KU,D,IN,37.64,31.99,34.56,0,Elevat proximal arm support
E2631,UE,,D,IN,0,0,237.98,259.23,Elevat proximal arm support
E2631,UE,KU,D,IN,282.49,240.12,259.23,0,Elevat proximal arm support
E2632,NU,,D,IN,0,0,202.58,203.58,Offset/lat rocker arm w/ela
E2632,NU,KU,D,IN,239.51,203.58,203.58,0,Offset/lat rocker arm w/ela
E2632,RR,,D,IN,0,0,20.26,20.35,Offset/lat rocker arm w/ela
